ticket_id,agent_id,agent_name,team_id,ticket_opened_at,ticket_closed_at,handle_time_seconds,closure_reason_code,closure_reason_group,channel,issue_category,resolution_status,transfer_count,is_escalation,survey_sent_flag,survey_sent_at,survey_completed_flag,survey_completed_at,csat_score,verbatim_comment,survey_trigger_method,day_of_week,hour_of_day,month_year,handle_time_bucket
TKT0000001,AGT021,Agent_021,TEAM2,2025-12-10T18:17:00,2025-12-10T18:26:31,571,RES_CUST_VERIFIED,Resolved - Customer Confirmed,phone,Connectivity,transferred,1,False,0,,0,,,,,Wednesday,18,2025-12,7-15min
TKT0000002,AGT005,Agent_005,TEAM2,2026-05-26T18:57:00,2026-05-26T19:03:06,366,RES_CUST_VERIFIED,Resolved - Customer Confirmed,app,Billing,resolved,0,False,1,2026-05-26T21:03:06,1,2026-05-27T07:03:06,3.7,Issue was resolved but took longer than expected.,closure_code,Tuesday,19,2026-05,3-7min
TKT0000003,AGT002,Agent_002,TEAM3,2025-12-27T10:14:00,2025-12-27T10:19:42,342,RES_CONF,Resolved - Customer Confirmed,phone,Remote Services,resolved,0,False,1,2025-12-31T10:19:42,0,,,,closure_code,Saturday,10,2025-12,3-7min
TKT0000004,AGT007,Agent_007,TEAM4,2026-06-01T15:26:00,2026-06-01T15:31:42,342,DUPLICATE,Administrative,phone,Billing,transferred,1,False,0,,0,,,,,Monday,15,2026-06,3-7min
TKT0000005,AGT019,Agent_019,TEAM4,2025-12-05T19:51:00,2025-12-05T20:11:18,1218,SOLVED_SILENT,Resolved - No Follow-Up,chat,Emergency Services,resolved,0,False,0,,0,,,,,Friday,20,2025-12,15+min
TKT0000006,AGT009,Agent_009,TEAM2,2026-01-28T19:21:00,2026-01-28T19:32:30,690,SOLVED_FIRST,Resolved - Customer Confirmed,phone,Navigation,transferred,2,False,1,2026-01-29T19:32:30,1,2026-01-30T00:32:30,3.2,,closure_code,Wednesday,19,2026-01,7-15min
TKT0000007,AGT013,Agent_013,TEAM2,2026-03-05T20:22:00,2026-03-05T20:26:50,290,RES_CUST_VERIFIED,Resolved - Customer Confirmed,phone,Diagnostics,resolved,0,False,1,2026-03-06T20:26:50,1,2026-03-07T11:26:50,4.3,,closure_code,Thursday,20,2026-03,3-7min
TKT0000008,AGT015,Agent_015,TEAM4,2026-01-04T21:24:00,2026-01-04T21:33:49,589,TRANSFERRED_DEPT,Transferred,phone,Diagnostics,resolved,0,False,0,,0,,,,,Sunday,21,2026-01,7-15min
TKT0000009,AGT020,Agent_020,TEAM1,2026-04-30T10:45:00,2026-04-30T10:52:57,477,CLOSED_AUTO,Resolved - No Follow-Up,phone,Emergency Services,resolved,0,False,0,,0,,,,,Thursday,10,2026-04,7-15min
TKT0000010,AGT003,Agent_003,TEAM4,2025-12-29T13:17:00,2025-12-29T13:18:45,105,RES_NO_FU,Resolved - No Follow-Up,phone,Connectivity,resolved,0,False,1,2025-12-30T13:18:45,1,2025-12-31T09:18:45,4.3,Agent was knowledgeable and patient.,closure_code,Monday,13,2025-12,0-3min
